catalog_name,schema_name,table_name,full_name,position,column_name,type_name,type_text,nullable,semantic_role
dev_iqvia_catalog,trusted_starschema_01,d_material_left_samples,dev_iqvia_catalog.trusted_starschema_01.d_material_left_samples,1,MATERIAL_LEFT_SAMPLE,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_material_left_samples,dev_iqvia_catalog.trusted_starschema_01.d_material_left_samples,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_meeting_types,dev_iqvia_catalog.trusted_starschema_01.d_meeting_types,0,MEETING_TYPE_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_meeting_types,dev_iqvia_catalog.trusted_starschema_01.d_meeting_types,1,MEETING_TYPE,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_meeting_types,dev_iqvia_catalog.trusted_starschema_01.d_meeting_types,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_molecules,dev_iqvia_catalog.trusted_starschema_01.d_molecules,0,MOLECULE_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_molecules,dev_iqvia_catalog.trusted_starschema_01.d_molecules,1,MOLECULE,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_molecules,dev_iqvia_catalog.trusted_starschema_01.d_molecules,2,CORPORATE_MOLECULE,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_molecules,dev_iqvia_catalog.trusted_starschema_01.d_molecules,3,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_nps,dev_iqvia_catalog.trusted_starschema_01.d_nps,0,NPS_SCALE_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_nps,dev_iqvia_catalog.trusted_starschema_01.d_nps,1,NPS_SCALE,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_nps,dev_iqvia_catalog.trusted_starschema_01.d_nps,2,NPS_CATEGORY,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_nps,dev_iqvia_catalog.trusted_starschema_01.d_nps,3,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_prescription_current,dev_iqvia_catalog.trusted_starschema_01.d_prescription_current,0,PRESCRIPTION_CURRENT_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_prescription_current,dev_iqvia_catalog.trusted_starschema_01.d_prescription_current,1,PRESCRIPTION_CURRENT,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_prescription_current,dev_iqvia_catalog.trusted_starschema_01.d_prescription_current,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_prescription_future,dev_iqvia_catalog.trusted_starschema_01.d_prescription_future,0,PRESCRIPTION_FUTURE_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_prescription_future,dev_iqvia_catalog.trusted_starschema_01.d_prescription_future,1,PRESCRIPTION_FUTURE,STRING,string,False,attribute
